Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %,
90, 4, 16, 1, 144, 29.6048, 27.9586, N/A, 3.0519, 3.05192, 0.0687219, 158.923, 128, 32, 1, 1, 1, 1, 32.1285, N/A, N/A, N/A, N/A, N/A, N/A, N/A,
90, 4, 16, 1, 144, 29.6048, 27.9586, N/A, 3.0519, 3.05192, 0.0687219, 158.923, 128, 32, 1, 1, 1, 1, 32.1285, N/A, N/A, N/A, N/A, N/A, N/A, N/A,
90, 4, 16, 1, 144, 29.6048, 27.9586, N/A, 3.0519, 3.05192, 0.0687219, 158.923, 128, 32, 1, 1, 1, 1, 32.1285, N/A, N/A, N/A, N/A, N/A, N/A, N/A,
90, 4, 16, 1, 144, 29.6048, 27.9586, N/A, 3.0519, 3.05192, 0.0687219, 158.923, 128, 32, 1, 1, 1, 1, 32.1285, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 4, 16, 1, 144, 29.6048, 27.9586, N/A, 3.0519, 3.05192, 0.0687219, 158.923, 128, 32, 1, 1, 1, 1, 32.1285, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 4, 16, 1, 144, 30.0555, 27.9973, N/A, 2.41391, 2.41393, 0.0675045, 152.811, 128, 32, 1, 1, 1, 1, 33.3848, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 4, 16, 1, 144, 30.5297, 28.0082, N/A, 2.04156, 2.04158, 0.0668702, 138.012, 128, 32, 1, 1, 1, 1, 33.3073, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 16, 16, 1, 144, 37.1616, 49.1572, N/A, 3.18314, 3.18316, 0.175525, 441.804, 128, 32, 1, 1, 1, 1, 45.2931, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 4, 16, 1, 144, 30.5297, 28.0082, N/A, 2.04156, 2.04158, 0.0668702, 138.012, 128, 32, 1, 1, 1, 1, 33.3073, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 4, 16, 1, 144, 30.5297, 28.0082, N/A, 2.04156, 2.04158, 0.0668702, 138.012, 128, 32, 1, 1, 1, 1, 33.3073, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 4, 16, 1, 144, 30.5297, 28.0082, N/A, 2.04156, 2.04158, 0.0668702, 138.012, 128, 32, 1, 1, 1, 1, 33.3073, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 16, 16, 1, 144, 37.1616, 49.1572, N/A, 3.18314, 3.18316, 0.175525, 441.804, 128, 32, 1, 1, 1, 1, 45.2931, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
90, 4, 16, 1, 144, 30.5297, 28.0082, N/A, 2.04156, 2.04158, 0.0668702, 138.012, 128, 32, 1, 1, 1, 1, 33.3073, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 16, 1, 144, 17.7965, 13.8161, N/A, 0.696384, 0.69639, 0.0135793, 32.2311, 128, 32, 1, 1, 1, 1, 30.7994, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 19.5284, 27.4894, N/A, 0.745685, 0.74569, 0.0337763, 26.947, 128, 32, 1, 1, 1, 1, 38.4538, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 21.7901, 29.1299, N/A, 0.725507, 0.725508, 0.131243, 22.1385, 512, 32, 1, 1, 1, 1, 46.6109, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 20.0776, 30.9592, N/A, 0.826255, 0.826277, 0.00936965, 18.586, 32, 32, 1, 1, 1, 1, 55.2733, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 19.5895, 19.029, N/A, 0.812599, 0.81261, 0.0187146, 25.5573, 64, 64, 1, 1, 1, 1, 40.5023, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 20.0795, 14.6752, N/A, 0.855222, 0.855228, 0.0516726, 32.0203, 128, 128, 1, 1, 1, 1, 32.4602, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 20.0795, 14.6752, N/A, 0.855222, 0.855228, 0.0516726, 32.0203, 128, 128, 1, 1, 1, 1, 32.4602, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 20.0795, 14.6752, N/A, 0.855222, 0.855228, 0.0516726, 32.0203, 128, 128, 1, 1, 1, 1, 32.4602, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 22.4131, 38.5147, N/A, 0.932885, 0.932928, 0.00532433, 16.4267, 16, 32, 1, 1, 1, 1, 62.3122, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 22.4131, 38.5147, N/A, 0.932885, 0.932928, 0.00532433, 16.4267, 16, 32, 1, 1, 1, 1, 62.3122, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 30.572, 61.6924, N/A, 1.14605, 1.14614, 0.00335494, 16.1498, 8, 32, 1, 1, 1, 1, 63.347, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 31.6407, 191.165, N/A, 1.08602, 1.0861, 0.00279194, 13.3566, 8, 8, 1, 1, 1, 1, 76.0892, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 33.1625, 562.301, N/A, 1.07591, 1.076, 0.0026477, 12.8908, 8, 4, 1, 1, 1, 1, 78.7306, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 33.1625, 562.301, N/A, 1.07591, 1.076, 0.0026477, 12.8908, 8, 4, 1, 1, 1, 1, 78.7306, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 33.1625, 562.301, N/A, 1.07591, 1.076, 0.0026477, 12.8908, 8, 4, 1, 1, 1, 1, 78.7306, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 26.9602, 1961.74, N/A, 1.04215, 1.04224, 0.00492945, 14.0408, 8, 4, 1, 1, 1, 1, 72.5162, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 4, 4, 1, 144, 24.3683, 1953.85, N/A, 0.945747, 0.94579, 0.00790074, 16.7142, 16, 4, 1, 1, 1, 1, 61.2733, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
