Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
50, 8, 16, 1, 64, 18.8195, 33.8144, N/A, 0.919803, 0.919819, 0.0102402, 64.8127, 16, 32, 1, 1, 1, 1, 57.385, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8, 16, 1, 64, 19.7512, 34.0564, N/A, 0.790767, 0.790781, 0.00298604, 51.1815, 16, 32, 1, 1, 1, 1, 57.0928, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8, 16, 1, 64, 19.7512, 34.0564, N/A, 0.790767, 0.790781, 0.00298604, 51.1815, 16, 32, 1, 1, 1, 1, 57.0928, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8, 16, 1, 64, 19.7512, 34.0564, N/A, 0.790767, 0.790781, 0.00298604, 51.1815, 16, 32, 1, 1, 1, 1, 57.0928, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8, 16, 1, 64, 19.7512, 34.0564, N/A, 0.790767, 0.790781, 0.00298604, 51.1815, 16, 32, 1, 1, 1, 1, 57.0928, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8, 16, 1, 64, 19.7512, 34.0564, N/A, 0.790767, 0.790781, 0.00298604, 51.1815, 16, 32, 1, 1, 1, 1, 57.0928, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8, 16, 1, 64, 19.7512, 34.0564, N/A, 0.790767, 0.790781, 0.00298604, 51.1815, 16, 32, 1, 1, 1, 1, 57.3497, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8, 8, 1, 64, 23.264, 64.2197, N/A, 0.913817, 0.913832, 0.00499292, 47.9637, 16, 32, 1, 1, 1, 1, 61.1971, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8, 8, 1, 64, 23.1581, 64.1409, N/A, 0.910619, 0.910634, 0.00499036, 46.7118, 16, 32, 1, 1, 1, 1, 62.8301, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 8, 8, 1, 64, 23.1581, 64.1409, N/A, 0.910619, 0.910634, 0.00499036, 46.7118, 16, 32, 1, 1, 1, 1, 62.8301, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 22.5475, 68.2649, N/A, 1.07002, 1.07004, 0.017716, 60.5858, 16, 32, 1, 1, 1, 1, 61.3701, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 22.5475, 68.2649, N/A, 1.07002, 1.07004, 0.017716, 60.5858, 16, 32, 1, 1, 1, 1, 61.3701, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 22.5475, 68.2649, N/A, 1.07002, 1.07004, 0.017716, 60.5858, 16, 32, 1, 1, 1, 1, 61.3701, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 22.4757, 68.2217, N/A, 1.06616, 1.06617, 0.0177133, 59.0148, 16, 32, 1, 1, 1, 1, 62.236, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 22.5475, 68.2649, N/A, 1.07002, 1.07004, 0.017716, 60.5858, 16, 32, 1, 1, 1, 1, 61.6067, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 17.3366, 32.9394, N/A, 0.862362, 0.862378, 0.0100908, 32.5076, 16, 32, 1, 1, 1, 1, 57.4082, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 17.3464, 32.9699, N/A, 0.939193, 0.939227, 0.0103693, 33.274, 16, 32, 1, 1, 1, 1, 56.084, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.9149, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.4949, 66.6909, N/A, 1.6436, 1.64361, 0.0221728, 59.8316, 16, 32, 1, 1, 1, 1, 55.2362, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8716, 67.6815, N/A, 2.89014, 2.89021, 0.0310001, 69.4198, 16, 32, 1, 1, 1, 1, 53.2347, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8716, 67.6815, N/A, 2.89014, 2.89021, 0.0310001, 69.4198, 16, 32, 1, 1, 1, 1, 53.2347, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
50, 8, 8, 1, 64, 20.8383, 67.5978, N/A, 1.68435, 1.68437, 0.0222478, 65.5804, 16, 32, 1, 1, 1, 1, 56.7129, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
