Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
32, 8, 8, 1, 144, 21.5797, 54.8051, N/A, 0.993462, 0.993493, 0.0161363, 22.5426, 16, 32, 1, 1, 1, 1, 58.4809, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 8, 1, 144, 21.5209, 54.8051, N/A, 2.81281, 2.81294, 0.0305796, 23.9002, 16, 32, 1, 1, 1, 1, 55.0768, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 8, 1, 144, 21.5628, 54.8051, N/A, 1.59176, 1.59182, 0.0209506, 22.9924, 16, 32, 1, 1, 1, 1, 57.3073, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 8, 1, 144, 22.8226, 37.5995, N/A, 1.33534, 1.3354, 0.0124703, 22.6887, 16, 32, 1, 1, 1, 1, 58.0733, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 8, 8, 1, 144, 21.5628, 54.8051, N/A, 1.59176, 1.59182, 0.0209506, 22.9924, 16, 32, 1, 1, 1, 1, 57.3073, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 16, 8, 1, 144, 27.807, 143.467, N/A, 2.53938, 2.53945, 0.038962, 43.7873, 16, 32, 1, 1, 1, 1, 60.2216, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 144, 15.7735, 27.9346, N/A, 1.11682, 1.11688, 0.0119413, 12.5455, 16, 32, 1, 1, 1, 1, 52.456, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 2, 8, 1, 144, 12.6741, 14.5474, N/A, 0.759234, 0.759297, 0.00489453, 4.65002, 16, 32, 1, 1, 1, 1, 35.2366, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 144, 15.7735, 27.9346, N/A, 1.11682, 1.11688, 0.0119413, 12.5455, 16, 32, 1, 1, 1, 1, 52.456, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 144, 18.7422, 28.1841, N/A, 1.09171, 1.09178, 0.00745497, 14.0555, 16, 32, 1, 1, 1, 1, 46.8329, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 144, 15.7735, 27.9346, N/A, 1.11682, 1.11688, 0.0119413, 12.5455, 16, 32, 1, 1, 1, 1, 52.456, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 144, 15.7735, 27.9346, N/A, 1.11682, 1.11688, 0.0119413, 12.5455, 16, 32, 1, 1, 1, 1, 52.456, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
32, 4, 8, 1, 144, 15.7735, 27.9346, N/A, 1.11682, 1.11688, 0.0119413, 12.5455, 16, 32, 1, 1, 1, 1, 52.456, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
22, 4, 8, 1, 144, 12.9852, 20.1229, N/A, 0.535829, 0.535864, 0.0484153, 4.82193, 16, 32, 1, 1, 1, 1, 43.0718, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
