Total memory size/Layer (Gb)	Stacked die count	Page size(KB)	Chip IO width	Number of banks/Layer	Size of bank (Mb)	Total number of banks	Activation energy nJ	Area efficiency	DRAM core area(mm^2)	Precharge energy nJ	Read energy nJ	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Total memory size (Gb)	Write energy nJ	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	8.0	 "	"	8	 "	"	2	 "	"	1024	 "	"	4	 "	"	2048.0	 "	"	32	 "	"	3.10151	 "	"	32.3825	 "	"	20.3723	 "	"	3.03823	 "	"	5.24129	 "	"	0.052416	 "	"	2.1934	 "	"	2.13873	 "	"	64.0	 "	"	5.24132	 "	"	11	 "	"	17	 "	"	23	 "	"	12	 "	"	9	 "	"	3	 "
"	8.0	 "	"	8	 "	"	1	 "	"	512	 "	"	2	 "	"	4096.0	 "	"	16	 "	"	1.67858	 "	"	31.0117	 "	"	21.2729	 "	"	1.55643	 "	"	5.14514	 "	"	0.013968	 "	"	1.13402	 "	"	2.13873	 "	"	64.0	 "	"	5.14517	 "	"	18	 "	"	16	 "	"	22	 "	"	9	 "	"	9	 "	"	5	 "
"	16.0	 "	"	4	 "	"	2	 "	"	512	 "	"	2	 "	"	8192.0	 "	"	8	 "	"	1.38373	 "	"	33.4389	 "	"	78.9149	 "	"	1.12645	 "	"	7.83478	 "	"	0.014064	 "	"	0.28162	 "	"	0.722927	 "	"	64.0	 "	"	7.83479	 "	"	31	 "	"	21	 "	"	27	 "	"	11	 "	"	7	 "	"	6	 "
"	16.0	 "	"	4	 "	"	4	 "	"	1024	 "	"	4	 "	"	4096.0	 "	"	16	 "	"	2.36312	 "	"	42.4544	 "	"	62.1568	 "	"	2.22821	 "	"	6.0645	 "	"	0.052608	 "	"	0.543747	 "	"	0.722927	 "	"	64.0	 "	"	6.06453	 "	"	11	 "	"	23	 "	"	29	 "	"	16	 "	"	8	 "	"	3	 "
"	16.0	 "	"	4	 "	"	2	 "	"	1024	 "	"	1	 "	"	16384.0	 "	"	4	 "	"	1.73949	 "	"	28.1879	 "	"	93.6155	 "	"	1.3896	 "	"	19.6458	 "	"	0.0132	 "	"	0.544773	 "	"	0.722927	 "	"	64.0	 "	"	19.6459	 "	"	78	 "	"	23	 "	"	29	 "	"	12	 "	"	7	 "	"	7	 "
"	8.0	 "	"	8	 "	"	1	 "	"	512	 "	"	8	 "	"	1024.0	 "	"	64	 "	"	1.61482	 "	"	33.55	 "	"	19.6634	 "	"	1.55229	 "	"	3.39536	 "	"	0.055488	 "	"	1.12987	 "	"	2.13873	 "	"	64.0	 "	"	3.39539	 "	"	12	 "	"	15	 "	"	21	 "	"	9	 "	"	9	 "	"	4	 "
"	16.0	 "	"	4	 "	"	1	 "	"	1024	 "	"	32	 "	"	512.0	 "	"	128	 "	"	1.07343	 "	"	32.1863	 "	"	81.9861	 "	"	0.964624	 "	"	8.14808	 "	"	0.41856	 "	"	0.542208	 "	"	0.722927	 "	"	64.0	 "	"	8.14814	 "	"	11	 "	"	15	 "	"	21	 "	"	8	 "	"	7	 "	"	3	 "
"	16.0	 "	"	4	 "	"	2	 "	"	512	 "	"	4	 "	"	4096.0	 "	"	16	 "	"	1.2989	 "	"	43.4508	 "	"	60.7314	 "	"	1.12334	 "	"	5.56324	 "	"	0.028032	 "	"	0.281107	 "	"	0.722927	 "	"	64.0	 "	"	5.56327	 "	"	17	 "	"	19	 "	"	25	 "	"	11	 "	"	8	 "	"	4	 "
"	8.0	 "	"	8	 "	"	2	 "	"	512	 "	"	4	 "	"	2048.0	 "	"	32	 "	"	2.04005	 "	"	34.1692	 "	"	19.3071	 "	"	1.97677	 "	"	2.83897	 "	"	0.02784	 "	"	1.13194	 "	"	2.13873	 "	"	64.0	 "	"	2.83898	 "	"	11	 "	"	17	 "	"	23	 "	"	12	 "	"	9	 "	"	3	 "
"	8.0	 "	"	8	 "	"	1	 "	"	512	 "	"	1	 "	"	8192.0	 "	"	8	 "	"	1.72472	 "	"	27.9948	 "	"	23.5654	 "	"	1.5585	 "	"	6.31306	 "	"	0.007008	 "	"	1.13609	 "	"	2.13873	 "	"	64.0	 "	"	6.31309	 "	"	31	 "	"	17	 "	"	23	 "	"	9	 "	"	9	 "	"	6	 "
