Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	8.0	 "	"	8	 "	"	16384	 "	"	1024	 "	"	3.10151	 "	"	32.3825	 "	"	3.03823	 "	"	5.24129	 "	"	0.052416	 "	"	2.1934	 "	"	2.13873	 "	"	5.24132	 "	"	11	 "	"	17	 "	"	23	 "	"	12	 "	"	9	 "	"	3	 "
"	16.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.38373	 "	"	33.4389	 "	"	1.12645	 "	"	7.83478	 "	"	0.014064	 "	"	0.28162	 "	"	0.722927	 "	"	7.83479	 "	"	31	 "	"	21	 "	"	27	 "	"	11	 "	"	7	 "	"	6	 "
"	2.0	 "	"	4	 "	"	8192	 "	"	512	 "	"	0.749102	 "	"	33.0172	 "	"	0.701984	 "	"	1.96677	 "	"	0.027744	 "	"	0.279568	 "	"	0.722927	 "	"	1.9668	 "	"	8	 "	"	13	 "	"	19	 "	"	7	 "	"	7	 "	"	2	 "
"	2.0	 "	"	8	 "	"	16384	 "	"	512	 "	"	1.44277	 "	"	27.5204	 "	"	1.39916	 "	"	2.1949	 "	"	0.055104	 "	"	1.12572	 "	"	2.13873	 "	"	2.19492	 "	"	10	 "	"	12	 "	"	14	 "	"	11	 "	"	5	 "	"	3	 "
"	2.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.18048	 "	"	32.5866	 "	"	1.12491	 "	"	1.69741	 "	"	0.01392	 "	"	0.280081	 "	"	0.722927	 "	"	1.69743	 "	"	8	 "	"	16	 "	"	22	 "	"	10	 "	"	7	 "	"	2	 "
"	8.0	 "	"	8	 "	"	8192	 "	"	512	 "	"	1.61482	 "	"	33.55	 "	"	1.55229	 "	"	3.39536	 "	"	0.055488	 "	"	1.12987	 "	"	2.13873	 "	"	3.39539	 "	"	12	 "	"	15	 "	"	21	 "	"	9	 "	"	9	 "	"	4	 "
"	2.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	0.790478	 "	"	31.3693	 "	"	0.742958	 "	"	1.47771	 "	"	0.055296	 "	"	0.279055	 "	"	0.722927	 "	"	1.47773	 "	"	7	 "	"	12	 "	"	16	 "	"	10	 "	"	4	 "	"	2	 "
"	8.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.30883	 "	"	31.4822	 "	"	1.12645	 "	"	5.51723	 "	"	0.007024	 "	"	0.28162	 "	"	0.722927	 "	"	5.51725	 "	"	29	 "	"	19	 "	"	25	 "	"	11	 "	"	7	 "	"	4	 "
"	16.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.2989	 "	"	43.4508	 "	"	1.12334	 "	"	5.56324	 "	"	0.028032	 "	"	0.281107	 "	"	0.722927	 "	"	5.56327	 "	"	17	 "	"	19	 "	"	25	 "	"	11	 "	"	8	 "	"	4	 "
"	2.0	 "	"	4	 "	"	16384	 "	"	1024	 "	"	1.45362	 "	"	27.2115	 "	"	1.38807	 "	"	3.59727	 "	"	0.01312	 "	"	0.543234	 "	"	0.722927	 "	"	3.5973	 "	"	9	 "	"	16	 "	"	22	 "	"	10	 "	"	7	 "	"	2	 "
"	4.0	 "	"	4	 "	"	16384	 "	"	512	 "	"	1.229	 "	"	31.3043	 "	"	1.12594	 "	"	3.1753	 "	"	0.007008	 "	"	0.281107	 "	"	0.722927	 "	"	3.17532	 "	"	14	 "	"	17	 "	"	23	 "	"	11	 "	"	7	 "	"	3	 "
